[INFO] [1695910151.954945, 0.000000]: Waiting for clock
[INFO] [1695910160.660206, 1539699407.705868]: Error (in mm): 1.75
[INFO] [1695910160.662549, 1539699407.705868]: Error (in mm): 1.75
[INFO] [1695910160.670113, 1539699407.715937]: Error (in mm): 1.74
[INFO] [1695910160.671960, 1539699407.715937]: Error (in mm): 1.74
[INFO] [1695910160.680315, 1539699407.726005]: Error (in mm): 1.74
[INFO] [1695910160.682586, 1539699407.726005]: Error (in mm): 1.74
[INFO] [1695910160.690284, 1539699407.736082]: Error (in mm): 1.73
[INFO] [1695910160.692289, 1539699407.736082]: Error (in mm): 1.73
[INFO] [1695910160.700514, 1539699407.746160]: Error (in mm): 1.73
[INFO] [1695910160.703285, 1539699407.746160]: Error (in mm): 1.74
[INFO] [1695910160.710593, 1539699407.756242]: Error (in mm): 1.74
[INFO] [1695910160.712804, 1539699407.756242]: Error (in mm): 1.74
[INFO] [1695910160.720493, 1539699407.766318]: Error (in mm): 1.74
[INFO] [1695910160.722628, 1539699407.766318]: Error (in mm): 1.74
[INFO] [1695910160.730993, 1539699407.776396]: Error (in mm): 1.74
[INFO] [1695910160.733410, 1539699407.776396]: Error (in mm): 1.74
[INFO] [1695910160.741253, 1539699407.786997]: Error (in mm): 1.75
[INFO] [1695910160.743454, 1539699407.786997]: Error (in mm): 1.75
[INFO] [1695910160.751487, 1539699407.797090]: Error (in mm): 1.75
[INFO] [1695910160.753668, 1539699407.797090]: Error (in mm): 1.74
[INFO] [1695910160.762121, 1539699407.807200]: Error (in mm): 1.74
[INFO] [1695910160.765088, 1539699407.807200]: Error (in mm): 1.74
[INFO] [1695910160.771513, 1539699407.817294]: Error (in mm): 1.73
[INFO] [1695910160.773767, 1539699407.817294]: Error (in mm): 1.73
[INFO] [1695910160.781586, 1539699407.827359]: Error (in mm): 1.73
[INFO] [1695910160.783909, 1539699407.827359]: Error (in mm): 1.73
[INFO] [1695910160.791556, 1539699407.837425]: Error (in mm): 1.74
[INFO] [1695910160.794292, 1539699407.837425]: Error (in mm): 1.74
[INFO] [1695910160.801663, 1539699407.847495]: Error (in mm): 1.74
[INFO] [1695910160.803914, 1539699407.847495]: Error (in mm): 1.74
[INFO] [1695910160.812012, 1539699407.857564]: Error (in mm): 1.74
[INFO] [1695910160.814151, 1539699407.857564]: Error (in mm): 1.74
[INFO] [1695910160.821911, 1539699407.867633]: Error (in mm): 1.75
[INFO] [1695910160.824617, 1539699407.867633]: Error (in mm): 1.75
[INFO] [1695910160.832225, 1539699407.877709]: Error (in mm): 1.75
[INFO] [1695910160.834342, 1539699407.877709]: Error (in mm): 1.75
[INFO] [1695910160.842041, 1539699407.887778]: Error (in mm): 1.75
[INFO] [1695910160.844076, 1539699407.887778]: Error (in mm): 1.75
[INFO] [1695910160.852570, 1539699407.898153]: Error (in mm): 1.75
[INFO] [1695910160.854740, 1539699407.898153]: Error (in mm): 1.75
[INFO] [1695910160.862579, 1539699407.908222]: Error (in mm): 1.75
[INFO] [1695910160.865066, 1539699407.908222]: Error (in mm): 1.75
[INFO] [1695910160.872644, 1539699407.918293]: Error (in mm): 1.74
[INFO] [1695910160.874835, 1539699407.918293]: Error (in mm): 1.74
[INFO] [1695910160.882607, 1539699407.928341]: Error (in mm): 1.74
[INFO] [1695910160.884702, 1539699407.928341]: Error (in mm): 1.74
[INFO] [1695910160.892802, 1539699407.938418]: Error (in mm): 1.73
[INFO] [1695910160.895062, 1539699407.938418]: Error (in mm): 1.73
[INFO] [1695910160.902876, 1539699407.948495]: Error (in mm): 1.73
[INFO] [1695910160.905209, 1539699407.948495]: Error (in mm): 1.73
[INFO] [1695910160.913227, 1539699407.958563]: Error (in mm): 1.73
[INFO] [1695910160.915998, 1539699407.958563]: Error (in mm): 1.73
[INFO] [1695910160.923077, 1539699407.968638]: Error (in mm): 1.74
[INFO] [1695910160.925197, 1539699407.968638]: Error (in mm): 1.74
[INFO] [1695910160.933111, 1539699407.978712]: Error (in mm): 1.74
[INFO] [1695910160.934693, 1539699407.978712]: Error (in mm): 1.74
[INFO] [1695910160.943241, 1539699407.988781]: Error (in mm): 1.75
[INFO] [1695910160.945651, 1539699407.988781]: Error (in mm): 1.75
[INFO] [1695910160.953264, 1539699407.998898]: Error (in mm): 1.75
[INFO] [1695910160.955623, 1539699407.998898]: Error (in mm): 1.75
[INFO] [1695910160.963676, 1539699408.008966]: Error (in mm): 1.75
[INFO] [1695910160.966296, 1539699408.008966]: Error (in mm): 1.75
[INFO] [1695910160.973303, 1539699408.019032]: Error (in mm): 1.74
[INFO] [1695910160.975527, 1539699408.019032]: Error (in mm): 1.74
[INFO] [1695910160.983718, 1539699408.029180]: Error (in mm): 1.74
[INFO] [1695910160.987401, 1539699408.029180]: Error (in mm): 1.74
[INFO] [1695910160.993448, 1539699408.039248]: Error (in mm): 1.74
[INFO] [1695910160.995512, 1539699408.039248]: Error (in mm): 1.74
[INFO] [1695910161.003632, 1539699408.049319]: Error (in mm): 1.74
[INFO] [1695910161.005811, 1539699408.049319]: Error (in mm): 1.74
[INFO] [1695910161.013896, 1539699408.059437]: Error (in mm): 1.74
[INFO] [1695910161.016190, 1539699408.059437]: Error (in mm): 1.74
[INFO] [1695910161.023949, 1539699408.069512]: Error (in mm): 1.75
[INFO] [1695910161.025977, 1539699408.069512]: Error (in mm): 1.75
[INFO] [1695910161.033958, 1539699408.079573]: Error (in mm): 1.75
[INFO] [1695910161.036074, 1539699408.079573]: Error (in mm): 1.75
[INFO] [1695910161.043998, 1539699408.089653]: Error (in mm): 1.76
[INFO] [1695910161.046442, 1539699408.089653]: Error (in mm): 1.76
[INFO] [1695910161.054037, 1539699408.099724]: Error (in mm): 1.75
[INFO] [1695910161.056319, 1539699408.099724]: Error (in mm): 1.75
[INFO] [1695910161.064279, 1539699408.109800]: Error (in mm): 1.75
[INFO] [1695910161.066769, 1539699408.109800]: Error (in mm): 1.75
[INFO] [1695910161.074239, 1539699408.119895]: Error (in mm): 1.75
[INFO] [1695910161.076373, 1539699408.119895]: Error (in mm): 1.75
[INFO] [1695910161.084457, 1539699408.130005]: Error (in mm): 1.75
[INFO] [1695910161.087106, 1539699408.130005]: Error (in mm): 1.74
[INFO] [1695910161.094457, 1539699408.140074]: Error (in mm): 1.74
[INFO] [1695910161.096735, 1539699408.140074]: Error (in mm): 1.74
[INFO] [1695910161.104451, 1539699408.150141]: Error (in mm): 1.74
[INFO] [1695910161.106668, 1539699408.150141]: Error (in mm): 1.74
[INFO] [1695910161.114748, 1539699408.160216]: Error (in mm): 1.74
[INFO] [1695910161.117335, 1539699408.160216]: Error (in mm): 1.74
[INFO] [1695910161.124792, 1539699408.170623]: Error (in mm): 1.74
[INFO] [1695910161.126924, 1539699408.170623]: Error (in mm): 1.74
[INFO] [1695910161.134911, 1539699408.180719]: Error (in mm): 1.74
[INFO] [1695910161.137257, 1539699408.180719]: Error (in mm): 1.75
[INFO] [1695910161.145293, 1539699408.190899]: Error (in mm): 1.75
[INFO] [1695910161.148462, 1539699408.190899]: Error (in mm): 1.75
[INFO] [1695910161.155206, 1539699408.200993]: Error (in mm): 1.75
[INFO] [1695910161.157333, 1539699408.200993]: Error (in mm): 1.75
[INFO] [1695910161.165497, 1539699408.211064]: Error (in mm): 1.75
[INFO] [1695910161.168282, 1539699408.211064]: Error (in mm): 1.75
[INFO] [1695910161.175365, 1539699408.221136]: Error (in mm): 1.73
[INFO] [1695910161.177801, 1539699408.221136]: Error (in mm): 1.73
[INFO] [1695910161.185584, 1539699408.231243]: Error (in mm): 1.73
